25时miku,25-ji miku
迪亚曼特（火焰纹章）,diamant (fire emblem)
钻石（宝石之国）,diamond (houseki no kuni)
戴安娜·卡文迪什（小魔女学园）,diana cavendish
迪尔姆德·奥迪那（枪兵）（Fate）,diarmuid ua duibhne (lancer) (fate)
迪克·加姆休（逆转裁判）,dick gumshoe
黛朵（碧蓝航线）,dido (azur lane)
迪卢克（原神）,diluc (genshin impact)
迪米特里·亚历山大·布莱达德（火焰纹章）,dimitri alexandre blaiddyd
迪米特里·亚历山大·布莱达德（时隔多年后）（火焰纹章）,dimitri alexandre blaiddyd (post timeskip)
迪奥·布兰度（JOJO的奇妙冒险）,dio brando
迪奥娜（原神）,diona (genshin impact)
恐狼（兽娘动物园）,dire wolf (kemono friends)
蒂姬（罪恶装备）,dizzy (guilty gear)
姬塔（碧蓝幻想）,djeeta (granblue fantasy)
德拉诺尔·A·诺克斯（海猫鸣泣之时）,dlanor a. knox
杜宾（明日方舟）,dobermann (arknights)
多布雷尼亚·尼基季奇（Fate系列）,dobrynya nikitich (fate)
博士（明日方舟）,doctor (arknights)
嘟嘟可（宠物）（原神）,dodoco (genshin impact)
Dokibird（虚拟主播）,dokibird (vtuber)
Retro Dokibird（虚拟主播）,dokibird (vtuber) (retro doki)
骷髅君（宝钟玛琳/Hololive）,dokuro-kun (houshou marine)
多拉（彩虹社）,dola (nijisanji)
唐·吉诃德（脑叶公司）,don quixote (project moon)
咚锵（宠物）（兔田佩克拉/Hololive）,don-chan (usada pekora)
涂鸦老师（蔚蓝档案）,doodle sensei (blue archive)
哆来咪·苏伊特（东方Project）,doremy sweet
多洛缇雅·雅尔诺尔德（火焰之纹章：风花雪月）,dorothea arnault
多萝西（明日方舟）,dorothy (arknights)
桃乐丝（胜利女神：NIKKE）,dorothy (nikke)
多萝西（Princess Principal）,dorothy (princess principal)
桃乐丝・威斯特（美妙旋律）,dorothy west
博士（原神）,dottore (genshin impact)
堂岛菜菜子（女神异闻录4）,doujima nanako
同期酱（Douki-chan）,douki-chan (douki-chan)
蛋头博士（音速小子系列）,dr. eggman
真理医生（崩坏：星穹铁道）,dr. ratio (honkai  star rail)
DRAGON KID（老虎与兔子）,dragon kid
龙骑士（最终幻想系列）,dragoon (final fantasy)
梦之旅（赛马娘）,dream journey (umamusume)
多龙梅西亚（宝可梦系列）,dreepy
飘飘球（宝可梦系列）,drifloon
槲寄生（重返未来：1999）,druvis iii
DSR-50（少女前线）,dsr-50 (girls' frontline)
敦刻尔克（碧蓝航线）,dunkerque (azur lane)
大鸣大放（赛马娘）,duramente (umamusume)
幽兰黛尔（崩坏3rd）,durandal (honkai impact)
杜兰达尔（赛马娘）,durandal (umamusume)
夕（明日方舟）,dusk (arknights)
夕·岁月荣痕（明日方舟）,dusk (everything is a miracle) (arknights)
伊丝（Fresh光之美少女！）,eas (fresh precure!)
黑键（明日方舟）,ebenholz (arknights)
海老名菜菜（干物妹小埋）,ebina nana
戎璎花（Project）,ebisu eika
惠飞须泽胡桃（学园孤岛）,ebisuzawa kurumi
海老冢智（少女乐队的呐喊）,ebizuka tomo
艾克莉希亚（游戏王）,ecclesia (yu-gi-oh!)
艾姬多娜（Re:从零开始的异世界生活）,echidna (re zero)
伊蒂亚·李（勇气默示录）,edea lee
艾黛尔贾特·冯·弗雷斯贝尔古（火焰之纹章 风花雪月）,edelgard von hresvelg
伊甸（崩坏3rd）,eden (honkai impact)
艾德娜（情热传说）,edna (tales)
爱德华·艾尔利克（钢之炼金术师）,edward elric
爱德华·蒂奇（Fate系列）,edward teach (fate)
艾妲·罗斯曼（强袭魔女）,edytha rossmann
伊布（宝可梦）,eevee
伊得（新世界狂欢）,eiden (nu carnival)
艾可·卡萝尔（最终幻想9）,eiko carol
艾拉·伊尔玛塔·尤蒂莱宁（强袭魔女）,eila ilmatar juutilainen
和泉元艾米（蔚蓝档案）,eimi (blue archive)
和泉元艾米·泳装（蔚蓝档案）,eimi (swimsuit) (blue archive)
Ein（蔚蓝档案）,ein (blue archive)
艾茵哈特·斯崔特斯（魔法少女奈叶vivid）,einhard stratos
艾莉可（火焰之纹章）,eirika (fire emblem)
荣进闪耀（赛马娘）,eishin flash (umamusume)
神鹰（赛马娘）,el condor pasa (umamusume)
伊蕾娜（魔女之旅）,elaina (majo no tabitabi)
艾蕾因·奥克雷尔（英雄传说轨迹系列）,elaine auclair
伊兰·凯莱斯（机动战士高达：水星的魔女）,elan ceres
易北（碧蓝航线）,elbe (azur lane)
埃尔德里奇（碧蓝航线）,eldridge (azur lane)
小菊儿（宝可梦）,elesa (pokemon)
艾丽希斯（艾尔之光）,elesis (elsword)
精灵（龙之皇冠）,elf (dragon's crown)
艾尔海姆·范·霍滕（Xenogears）,elhaym van houten
艾莉·麦克道尔（英雄传说轨迹系列）,elie macdowell
艾琳（TERA）,elin (tera online)
小阳（宝可梦）,elio (pokemon)
Elira Pendora（彩虹社）,elira pendora
Elira Pendora（初始服装）（彩虹社）,elira pendora (1st costume)
伊莉斯（旧作）（东方Project）,elis (touhou)
艾丽泽（火焰之纹章）,elise (fire emblem)
艾利乌德（火焰之纹章）,eliwood (fire emblem)
伊丽莎白（女神异闻录）,elizabeth (persona)
伊丽莎白·巴托里〔勇者〕（Fate系列）,elizabeth bathory (brave) (fate)
伊丽莎白·巴托里（Fate系列）,elizabeth bathory (fate)
伊丽莎白·巴托里（Fate/EXTRA CCC）,elizabeth bathory (fate/extra ccc)
伊丽莎白·巴托里（Fate/EXTRA）,elizabeth bathory (fate/extra)
伊丽莎白·里昂尼丝（七大罪）,elizabeth liones
伊丽莎白·露丝·布拉德弗雷姆（Hololive）,elizabeth rose bloodflame
伊丽莎白·露丝·布拉德弗雷姆（初始服装）（Hololive）,elizabeth rose bloodflame (1st costume)
艾莉泽·卢塔斯（无尽传说）,elize lutus
艾尔公主（开阔天空！光之美少女）,ellee-chan
爱莲（旧作）（东方Project）,ellen (touhou)
艾伦·贝克（新视野教材插图娘）,ellen baker
艾伦·乔（绝区零）,ellen joe
艾伦·乔（校园生活）（绝区零）,ellen joe (on campus)
艾丽（旧作）（东方Project）,elly (touhou)
艾尔菲尔特·华伦泰（罪恶装备）,elphelt valentine
艾莎（冰雪奇缘）,elsa (frozen)
艾露（彩虹社）,elu (nijisanji)
爱莉希雅·人之律者（崩坏3rd）,elysia (herrscher of human  ego) (honkai impact)
爱莉希雅（崩坏3rd）,elysia (honkai impact)
爱莉希雅·粉色妖精小姐（崩坏3rd）,elysia (miss pink elf) (honkai impact)
爱莉希雅·粉色小姐（崩坏3rd）,elysia (miss pink) (honkai impact)
极境（明日方舟）,elysium (arknights)
爱蜜莉雅（Re:从零开始的异世界生活）,emilia (re zero)
艾米莉可（影宅）,emilico (shadows house)
艾米丽·斯图尔特（偶像大师 百万现场）,emily stewart
卫宫切嗣（Fate）,emiya kiritsugu
卫宫士郎（Fate）,emiya shirou
艾玛 奥加斯特（彩虹社）,emma august
艾玛·维尔德（LoveLive!虹咲学园学园偶像同好会）,emma verde
南厦（宝可梦）,emmet (pokemon)
大帝（明日方舟）,emperor (arknights)
帝企鹅（兽娘动物园）,emperor penguin (kemono friends)
安德瓦（我的英雄学院）,endeavor (boku no hero academia)
远藤沙耶（粗点心战争）,endou saya
敌机（舰队Collection）,enemy aircraft (kancolle)
敌救生浮标（舰队Collection）,enemy lifebuoy (kancolle)
恩奇都（Fate）,enkidu (fate)
贝雷丝（火焰之纹章）,enlightened byleth (female)
阎魔爱（地狱少女）,enma ai
艾娜·阿露蕾（彩虹社）,enna alouette
江之岛盾子（弹丸论破）,enoshima junko
燕乐玄鸟（东方Project）,enraku tsubakura
企业（碧蓝航线）,enterprise (azur lane)
艾伦·耶格尔（进击的巨人）,eren yeager
埃列什基伽勒（Fate）,ereshkigal (fate)
坏理（我的英雄学院）,eri (boku no hero academia)
艾瑞卡·哈特曼（强袭魔女）,erica hartmann
旗见绘里香（蓝色档案）,erika (blue archive)
莉佳（宝可梦）,erika (pokemon)
惠理子（公主连结！）,eriko (princess connect!)
艾莉娜·班德鲁顿（JOJO的奇妙冒险）,erina pendleton
艾力奥·曼迪尔（魔法少女奈叶）,erio mondial
艾莉丝·格雷拉特（无职转生）,eris greyrat
艾露露（传颂之物）,eruruu
艾露莎·史卡雷特（妖精的尾巴）,erza scarlet
艾丝（XBlaze）,es (xblaze)
爱丝卡·玫莉耶（炼金术士系列）,escha malier
艾斯德斯（斩·赤红之瞳！）,esdeath
太阳伊布（宝可梦）,espeon
埃塞克斯（碧蓝航线）,essex (azur lane)
艾丝蒂尔·布莱特（英雄传说）,estelle bright
艾斯蒂尔·西德·尤拉赛恩（薄暮传说）,estellise sidos heurassein
爱塔妮缇拉尔瓦（东方Project）,eternity larva
阿响（宝可梦）,ethan (pokemon)
艾媞耶（火焰之纹章）,etie (fire emblem)
艾多娜（魔界战记）,etna (disgaea)
择捉（舰队Collection）,etorofu (kancolle)
卫藤可奈美（刀使之巫女）,etou kanami
优菈（原神）,eula (genshin impact)
森蚺（明日方舟）,eunectes (arknights)
优妮（异度神剑）,eunie (xenoblade)
尤菲米娅·Li·布里塔尼亚（反叛的鲁路修）,euphemia li britannia
尤菲莉亚·玛吉塔（转生公主与天才千金的魔法革命）,euphyllia magenta
雕鸮（兽娘动物园）,eurasian eagle owl (kemono friends)
优莱卡（交响诗篇）,eureka (eureka seven)
欧罗巴（碧蓝幻想）,europa (granblue fantasy)
尤瑞艾莉（Fate）,euryale (fate)
艾娃·贝阿朵莉切（海猫鸣泣之时）,eva beatrice
依文洁琳·A·K·麦道威尔（魔法老师）,evangeline a.k. mcdowell
伊芙（艾尔之光）,eve (elsword)
伊芙（剑星）,eve (stellar blade)
伊芙琳·舒瓦利耶（绝区零）,evelyn chevalier
邪恶★双生姐妹基-希基利（游戏王）,evil twin ki-sikil
邪恶★双生姐妹莉拉（游戏王）,evil twin lil-la
EX慧音（东方Project）,ex-keine
EX露米娅（东方Project）,ex-rumia
送葬人（明日方舟）,executor (arknights)
能天使（明日方舟）,exusiai (arknights)
艾雅法拉（明日方舟）,eyjafjalla (arknights)
艾雅法拉·夏卉（明日方舟）,eyjafjalla (summer flower) (arknights)
艾雅法拉·灰烬（明日方舟）,eyjafjalla the hvit aska (arknights)
赤狐（兽娘动物园）,ezo red fox (kemono friends)
伊泽瑞尔（英雄联盟）,ezreal
珐（火焰之纹章）,fae (fire emblem)
失败企鹅,failure penguin
妖精（舰队Collection）,fairy (kancolle)
妖精女仆（东方Project）,fairy maid (touhou)
妖精未来（宝可梦电压计划）,fairy miku (project voltage)
FAL（少女前线）,fal (girls' frontline)
法琳·图丁（迷宫饭）,falin touden
法琳·图丁（奇美拉）（迷宫饭）,falin touden (chimera)
阿速（宝可梦）,falkner (pokemon)
fallenshadow（VTuber）,fallenshadow
法露露（美妙天堂）,falulu
法普塔（来自深渊）  ,faputa
法莉丝·谢尔维兹（最终幻想）,faris scherwiz
远牙（明日方舟）  ,fartooth (arknights)
珐露珊（原神）,faruzan (genshin impact)
菲特·泰斯特罗莎（魔法少女奈叶）  ,fate testarossa
菲特·泰斯特罗莎·冲击形态（魔法少女奈叶）  ,fate testarossa (impulse form)
菲特·泰斯特罗莎·闪电形态（魔法少女奈叶）  ,fate testarossa (lightning form)
菲特·泰斯特罗莎·剧场版初版形态（魔法少女奈叶）  ,fate testarossa (movie 1st form)
菲特·泰斯特罗莎·真实音速形态（魔法少女奈叶）  ,fate testarossa (true sonic form)
浮士德（废墟图书馆）,faust (project moon)
菲亚梅塔（明日方舟）  ,feater (arknights)
菲娜（格兰蒂亚）  ,feena (grandia)
飞霄（崩坏：星穹铁道）  ,feixiao (honkai  star rail)
菲尔特·格雷斯（高达00）  ,feldt grace
菲莉西亚（火焰纹章 风花雪月）,felicia (fire emblem)
菲莉西亚（恶魔战士）,felicia (vampire)
菲莉克斯·阿盖尔（Re:从零开始的异世界生活）  ,felix argyle
菲力克斯·雨果·弗拉德鲁斯（火焰纹章 风花雪月）  ,felix hugo fraldarius
女提督（舰队Collection）  ,female admiral (kancolle)
女局长（无期迷途）  ,female chief (path to nowhere)
女指挥官（少女前线）,female commander (girls' frontline)
女枪手（地下城与勇士）  ,female gunner (dungeon and fighter)
女法师（地下城与勇士）  ,female mage (dungeon and fighter)
女主人公（宝可梦GO）  ,female protagonist (pokemon go)
女审神者（刀剑乱舞）  ,female saniwa (touken ranbu)
女老师（碧蓝档案）,female sensei (blue archive)
女游客C（明日方舟）,female tourist c (arknights)
女训练员（赛马娘）,female trainer (umamusume)
耳廓狐（兽娘动物园）  ,fennec (kemono friends)
菲尔迪南特·冯·艾吉尔（火焰纹章 风花雪月）  ,ferdinand von aegir
菲伦（葬送的芙莉莲）,fern (sousou no frieren)
菲莉（碧蓝幻想）  ,ferry (granblue fantasy)
菲（塞尔达传说 天空之剑）  ,fi (zelda)
菲亚梅塔（明日方舟）  ,fiammetta (arknights)
菲莉娅（骷髅女孩）  ,filia (skullgirls)
菲洛（盾之勇者成名录）  ,filo (tate no yuusha no nariagari)
菲艾尔德·菲·拉芬缇（轮回的拉格朗日）,fin e ld si laffinty
龙宫菲娜娜（Nijisanji EN）  ,finana ryugu
美妙姿势（赛马娘）,fine motion (umamusume)
菲欧·吉尔米（合金弹头）,fio germi
菲奥娜·弗洛斯特（间谍×过家家）,fiona frost
菲尔沦（异度神剑）,fiora (xenoblade)
防火女（黑暗之魂）  ,fire keeper
流萤（崩坏：星穹铁道）  ,firefly (honkai  star rail)
斐里奥尼鲁（最终幻想II）,firion
菲谢尔·永夜幻梦（原神）  ,fischl (ein immernachtstraum) (genshin impact)
菲谢尔（原神）  ,fischl (genshin impact)
57式（少女前线）  ,five-seven (girls' frontline)
菲约尔姆（火焰纹章 英雄）  ,fjorm (fire emblem)
焰尾（明日方舟）  ,flametail (arknights)
芙兰朵露·斯卡蕾特（东方Project）  ,flandre scarlet
火伊布（宝可梦）  ,flareon
芙莲（火焰纹章 风花雪月）  ,flayn (fire emblem)
弗莱彻（舰队Collection）  ,fletcher (kancolle)
弗莱彻MK II（舰队Collection）  ,fletcher mk ii (kancolle)
芙蓉（魔界战记）,flonne
堕天使芙蓉（ywwuyi！）（魔界战记）,flonne (fallen angel)
芙罗拉（勇者斗恶龙V）  ,flora (dq5)
南丁格尔（Fate）,florence nightingale (fate)
南丁格尔·万圣节（Fate）,florence nightingale (trick or treatment) (fate)
小春（宝可梦 朱/紫）,florian (pokemon)
芙萝莉娜（火焰纹章）  ,florina (fire emblem)
花たん（VOCALOID4）,flower (vocaloid4)
弗洛伊德·里奇（迪士尼扭曲仙境）  ,floyd leech
柔柔（彩虹小马）  ,fluttershy
芙卡洛斯（原神）  ,focalors (genshin impact)
可畏（碧蓝航线）  ,formidable (azur lane)
可畏·海滨女王（碧蓝航线）  ,formidable (the lady of the beach) (azur lane)
芙芙（Fate）,fou (fate)
芙岚（火焰纹章结合）,framme (fire emblem)
法国（黑塔利亚）  ,france (hetalia)
弗兰西斯卡·鲁奇尼（强袭魔女）,francesca lucchini
芙兰卡（明日方舟）  ,franka (arknights)
弗兰肯斯坦（Fate）,frankenstein's monster (fate)
弗兰肯斯坦·泳装剑阶（Fate）,frankenstein's monster (swimsuit saber) (fate)
法兰珂·福斯特（飞天小女警）,frankie foster
狩魔冥（逆转裁判）  ,franziska von karma
芙蕾德莉卡·贝伦卡斯泰露（海猫鸣泣之时）  ,frederica bernkastel
芙莱娅·克莱森特（最终幻想IX）,freija crescent
菲米尼（原神）  ,freminet (genshin impact)
芙兰达·塞维伦（某科学的超电磁炮）  ,frenda seivelun
芙蕾雅·薇恩（超时空要塞Δ）  ,freyja wion
腓特烈大帝（碧蓝航线）  ,friedrich der grosse (azur lane)
无名朋友（Hololive）,friend (nanashi mumei)
芙莉莲（葬送的芙莉莲）  ,frieren
弗里斯克（Undertale）  ,frisk (undertale)
霜叶（明日方舟）  ,frostleaf (arknights)
霜星（明日方舟）  ,frostnova (arknights)
弗莱（斯普拉遁3）  ,frye (splatoon)
符华（崩坏3rd）  ,fu hua
符华·炽翎（崩坏3rd）  ,fu hua (azure empyrea)
符华·翎羽之歧（崩坏3rd）  ,fu hua (fenghuang of vicissitude)
符华·识之律者（崩坏3rd）  ,fu hua (herrscher of sentience)
符华·月轮（崩坏3rd）  ,fu hua (night squire)
符华·炽翎（崩坏3rd）  ,fu hua (phoenix)
符华·影骑士（崩坏3rd）  ,fu hua (shadow knight)
符华·白夜执事（崩坏3rd）  ,fu hua (valkyrie accipiter)
符玄（崩坏：星穹铁道）  ,fu xuan (honkai  star rail)
吹雪（碧蓝档案）,fubuki (blue archive)
吹雪（舰队Collection）  ,fubuki (kancolle)
吹雪（一拳超人）  ,fubuki (one-punch man)
吹雪·泳装（碧蓝档案）,fubuki (swimsuit) (blue archive)
吹雪改二（舰队Collection）  ,fubuki kai ni (kancolle)
富士奇迹（赛马娘）,fuji kiseki (umamusume)
藤林杏（CLANNAD）,fujibayashi kyou
藤林椋（CLANNAD）,fujibayashi ryou
藤间樱（偶像大师 闪耀色彩）,fujima sakura
藤丸立香（女性）（Fate/Grand Order）,fujimaru ritsuka (female)
藤丸立香（女性·绚烂夏装）（Fate/Grand Order）,fujimaru ritsuka (female) (brilliant summer)
藤丸立香（女性·决战迦勒底制服）（Fate/Grand Order）,fujimaru ritsuka (female) (decisive battle chaldea uniform)
藤丸立香（女性·极地迦勒底制服）（Fate/Grand Order）,fujimaru ritsuka (female) (polar chaldea uniform)
藤丸立香（男性）（Fate/Grand Order）,fujimaru ritsuka (male)
藤丸立香（男性·决战迦勒底制服）（Fate/Grand Order）,fujimaru ritsuka (male) (decisive battle chaldea uniform)
藤丸立香（男性·极地迦勒底制服）（Fate/Grand Order）,fujimaru ritsuka (male) (polar chaldea uniform)
卷波（舰队Collection）,fujinami (kancolle)
藤乃静留（舞-HiME）,fujino shizuru
不二咲千寻（弹丸论破）,fujisaki chihiro
藤岛慈（LoveLive！莲之空女学院）,fujishima megumi
藤田琴音（学园偶像大师）,fujita kotone
藤原千花（辉夜大小姐想让我告白）,fujiwara chika
藤原肇（偶像大师 灰姑娘女孩）,fujiwara hajime
藤原妹红（东方Project）,fujiwara no mokou
藤原妹红·幼年（东方Project）,fujiwara no mokou (young)
福江（舰队Collection）,fukae (kancolle)
腐川冬子（弹丸论破）,fukawa toko
福田春（少女与战车）,fukuda haru
福田法子（偶像大师 百万现场）,fukuda noriko
福路美穗子（天才麻将少女）,fukuji mihoko
福丸小糸（偶像大师 闪耀色彩）,fukumaru koito
福泽祐巳（圣母在上）,fukuzawa yumi
文月（舰队Collection）,fumizuki (kancolle)
船田纯（突击莉莉）,funada kiito
船田诗（突击莉莉）,funada ui
船见结衣（摇曳百合！）,funami yui
蕈兽（原神）,fungi (genshin impact)
法尼·瓦伦泰（JOJO的奇妙冒险）,funny valentine
芙莲·E·露丝塔莉欧（注彩虹社）,furen e lustario
芙宁娜（原神）,furina (genshin impact)
古手梨花（寒蝉鸣泣之时）,furude rika
古户绘梨花（海猫鸣泣之时）,furudo erika
古河渚（CLANNAD）,furukawa nagisa
古鹰（舰队Collection）,furutaka (kancolle)
古鹰改二（舰队Collection）,furutaka kai ni (kancolle)
古谷向日葵（摇曳百合！）,furutani himawari
伏黑惠（咒术回战）,fushiguro megumi
伏见学（彩虹社）,fushimi gaku
扶桑（舰队Collection）,fusou (kancolle)
双叶杏（偶像大师）,futaba anzu
二叶葵（Vividred Operation）,futaba aoi (vividred operation)
二叶莎奈（BanG Dream!）,futaba sana
双海亚美（偶像大师）,futami ami
二見瑛理子（君吻）,futami eriko
双海真美（偶像大师）,futami mami
二岩猯藏（东方Project）,futatsuiwa mamizou
二岩猯藏·人形（东方Project）,futatsuiwa mamizou (human)
爱清风香（蔚蓝档案）,fuuka (blue archive)
风魔小太郎（Fate系列）,fuuma kotarou (fate)
芙羽心音（Delicious Party♡光之美少女）,fuwa kokone
不破凑（彩虹社）,fuwa minato
软软·阿比斯加德（Hololive）,fuwawa abyssgard
软软·阿比斯加德·一周年礼服（Hololive）,fuwawa abyssgard (1st costume)
冬月（舰队Collection）,fuyutsuki (kancolle)
古·拉哈·提亚（最终幻想14）,g'raha tia
G11（少女前线）,g11 (girls' frontline)
G36（少女前线）,g36 (girls' frontline)
G41（少女前线）,g41 (girls' frontline)
天真·珈百璃·怀特（珈百璃的堕落）,gabriel tenma white
盖娅（最终幻想14）,gaia (ff14)
伽勒尔小火马（宝可梦）,galarian ponyta
伽莱翁（碧蓝幻想）,galleon (granblue fantasy)
蟆郡苛（斩服少女）,gamagoori ira
甘比尔湾（舰队Collection）,gambier bay (kancolle)
嘉明（原神）,gaming (genshin impact)
我那霸响（偶像大师）,ganaha hibiki
甘古特（舰队Collection）,gangut (kancolle)
甘古特Dva（舰队Collection）,gangut dva (kancolle)
加侬多夫（塞尔达传说）,ganondorf
甘雨（原神）,ganyu (genshin impact)
甘雨·暮霞新枝（原神）,ganyu (twilight blossom) (genshin impact)
烈咬陆鲨（宝可梦）,garchomp
沙奈朵（宝可梦）,gardevoir
加雷斯（Fate系列）,gareth (fate)
嘉妮特·亚力克桑德罗斯十七世（最终幻想9）,garnet til alexandros xvii
我妻由乃（未来日记）,gasai yuno
加斯科涅（碧蓝航线）,gascogne (azur lane)
嘉维尔（明日方舟）,gavial (arknights)
加维斯·贝特尔（崩坏：星穹铁道）,gavis bettel
噶呜·古拉（Hololive）,gawr gura
噶呜·古拉·一周年礼服（Hololive）,gawr gura (1st costume)
噶呜·古拉·私服（Hololive）,gawr gura (casual)
Geburah（脑叶公司）,gebura (project moon)
珍妮（梦幻之星Online2）,gene (pso2)
基因学者（仙境传说）,genetic (ragnarok online)
耿鬼（宝可梦）,gengar
灭族者·翔（弹丸论破）,genocider shou
贵妇人（赛马娘）,gentildonna (umamusume)
巴布亚企鹅（兽娘动物园）,gentoo penguin (kemono friends)
杰帕德·朗道（崩坏：星穹铁道）,gepard landau
德国（黑塔利亚）,germany (hetalia)
歌尔特露特·巴克霍隆（强袭魔女）,gertrud barkhorn
夏油杰（咒术回战）,getou suguru
西蒙-莱利（使命召唤现代战争2),ghost (modern warfare 2)
宝可梦初音（火箭队）（project voltage),ghost miku (project voltage)
琪琪·沐林（hololive EN）,gigi murin
琪琪·沐林（初始服装）（hololive EN）,gigi murin (1st costume)
吉尔伽美什(Caster)（Fate/Grand Order),gilgamesh (caster) (fate)
吉尔伽美什（Fate),gilgamesh (fate)
吉尔·德·雷(Caster)（Fate/Grand Order),gilles de rais (caster) (fate)
银古（虫师),ginko (mushishi)
乔鲁诺·乔巴拿（JOJO的奇妙冒险）,giorno giovanna
坂木老大（宝可梦),giovanni (pokemon)
猫了（网络延迟）（舰队Collection),girl holding a cat (kancolle)
冰伊布（宝可梦）,glaceon
歌蕾蒂娅（明日方舟),gladiia (arknights)
格拉吉欧（宝可梦),gladion (pokemon)
格劳克斯（明日方舟),glaucus (arknights)
火光（异度神剑),glimmer (xenoblade)
小优（宝可梦),gloria (pokemon)
神域守护·布洛蒂亚（碧蓝幻想）,godsworn alexiel
哥斯拉,godzilla
小豪（宝可梦),goh (pokemon)
五条悟（咒术回战）,gojou satoru
五虎退（刀剑乱舞）,gokotai
五更琉璃（黑猫）（我的妹妹哪有这么可爱！）,gokou ruri
狱原昆太（弹丸论破）,gokuhara gonta
黄金城市（赛马娘),gold city (umamusume)
黄金船（RUN！乱！射！)（赛马娘),gold ship (run revolt launcher) (umamusume)
黄金船（赛马娘),gold ship (umamusume)
川金丝猴（兽娘动物园),golden snub-nosed monkey (kemono friends)
澄闪（明日方舟),goldenglow (arknights)
戈尔德玛莉（火焰之纹章),goldmary (fire emblem)
栗宝宝（宝可梦）,goomba
戈耳工（Fate/Grand Order),gorgon (fate)
五郎（原神),gorou (genshin impact)
吴织亚切（爱杀宝贝）,goshiki agiri
哥特兰（舰队Collection),gotland (kancolle)
后藤二里（孤独摇滚！）,gotoh futari
后藤一里（孤独摇滚！）,gotoh hitori
豪德寺三花（东方Project）,goutokuji mike
格莉丝·霍华德（绝区零）,grace howard
维塔（魔法少女奈叶）,graf eisen
齐柏林伯爵（碧蓝航线),graf zeppelin (azur lane)
齐柏林伯爵（舰队Collection),graf zeppelin (kancolle)
古兰（碧蓝幻想),gran (granblue fantasy)
格拉尼（明日方舟),grani (arknights)
草上飞（赛马娘),grass wonder (umamusume)
砾（明日方舟),gravel (arknights)
格蕾（Fate),gray (fate)
古蕾菲亚·路西菲格斯（恶魔高校DXD）,grayfia lucifuge
古蕾雅（巴哈姆特之怒),grea (shingeki no bahamut)
东北风（舰队Collection),grecale (kancolle)
绿（宝可梦),green (pokemon)
格里高尔（脑叶公司),gregor (project moon)
灰狼（兽娘动物园),grey wolf (kemono friends)
格里菲斯（剑风传奇),griffith (berserk)
格林·阿洛薇（轰炸少女）,grim aloe
鲁弗莱（邪龙）（火焰之纹章),grima (fire emblem)
格蕾修（崩坏3rd）,griseo
灰熊MKV（少女前线),grizzly mkv (girls' frontline)
敲音猴（宝可梦）,grookey
古鲁夏（宝可梦),grusha (pokemon)
盖多·米斯达（JOJO的奇妙冒险）,guido mista
桂乃芬（崩坏：星穹铁道),guinaifen (honkai  star rail)
Gumi（Vocaloid）,gumi
古米（明日方舟),gummy (arknights)
郡道美玲（彩虹社）,gundou mirei
枪手(世界树的迷宫),gunner (sekaiju)
锅巴（原神),guoba (genshin impact)
红莲螺岩（天元突破红莲螺岩）,gurren-lagann
g格斯（剑风传奇),guts (berserk)
格温（英雄联盟),gwen (league of legends)
格温·斯黛西（漫威）,gwen stacy
葛温德林（奥丁领域),gwendolyn (odin sphere)
杰洛·齐贝林（JOJO的奇妙冒险）,gyro zeppeli
心豚(赤井心相关),haaton (akai haato)
哈贝特洛特（Fate/Grand Order),habetrot (fate)
八丈（舰队Collection),hachijou (kancolle)
八九寺真宵（物语系列）,hachikuji mayoi
八宫巡（偶像大师闪耀色彩）,hachimiya meguru
八王子直人（不要欺负我，长瀞同学）,hachiouji naoto
骇客娃娃3号,hacka doll 3
波动螺卷（我的英雄学院）,hado nejire
叶隐康比吕（弹丸论破）,hagakure yasuhiro
荻风（舰队Collection),hagikaze (kancolle)
萩原雪步（偶像大师）,hagiwara yukiho
羽衣拉拉（Star☆Twinkle光之美少女）,hagoromo lala
羽黑（舰队Collection),haguro (kancolle)
羽黑改二（舰队Collection),haguro kai ni (kancolle)
袴田日向（萝球社！）,hakamada hinata
叶加濑冬雪（彩虹社）,hakase fuyuki
哈珂斯·贝尔丝（Hololive）,hakos baelz
哈珂斯·贝尔丝（初始服装）（Hololive）,hakos baelz (1st costume)
箱崎星梨花（偶像大师百万现场）,hakozaki serika
haku（智龙迷城),haku (p&d)
博衣小夜璃（Hololive）,hakui koyori
博衣小夜璃（初始服装）（Hololive）,hakui koyori (1st costume)
博衣小夜璃(泳装)（Hololive）,hakui koyori (summer)
博丽灵梦（东方Project）,hakurei reimu
博丽灵梦(旧作)（东方Project）,hakurei reimu (pc-98)
滨口菖蒲（偶像大师灰姑娘女孩）,hamaguchi ayame
滨风（舰队Collection),hamakaze (kancolle)
滨波（舰队Collection),hamanami (kancolle)
哈曼（碧蓝航线),hammann (azur lane)
韩蛛俐（街头霸王）,han juri
花畑嘉依卡（彩虹社）,hanabatake chaika
花寺和佳（Healin' Good ♡ 光之美少女）,hanadera nodoka
朝颜花绘（碧蓝档案),hanae (blue archive)
浦和花子（碧蓝档案),hanako (blue archive)
浦和花子（泳装）（碧蓝档案),hanako (swimsuit) (blue archive)
花海言叶（魔法使光之美少女！）,hanami kotoha
花海咲季（学园偶像大师）,hanami saki
花海佑芽（学园偶像大师）,hanami ume
华满兰（Delicious party♡光之美少女）,hanamichi ran
花村阳介（女神异闻录4）,hanamura yousuke
